"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Variável - Área plantada (Hectares)"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"Ano x Produto das lavouras temporárias"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"2000";;"2001";;"2002";;"2003";;"2004";;"2005";;"2006";;"2007";;"2008";;"2009";;"2010";;"2011";;"2012";;"2013";;"2014";;"2015";;"2016";;"2017";;"2018";;"2019";;"2020";;"2021";;"2022";;"2023"
"Nível";"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - MT";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)";"Total";"Milho (em grão)"
"MU";"5104559";"      Itaúba";"7554";"1300";"7624";"800";"6692";"500";"10860";"1700";"20092";"2661";"40917";"4900";"21020";"1100";"21383";"1900";"21393";"1900";"21635";"2250";"13150";"3250";"15197";"2200";"47261";"11400";"45561";"11400";"42971";"11300";"42546";"8300";"62932";"15000";"70091";"20000";"72141";"22000";"72141";"22000";"83141";"30000";"87341";"31000";"101341";"34000";"129631";"45000"
"MU";"5105580";"      Marcelândia";"4137";"800";"3345";"800";"3515";"300";"4653";"200";"14410";"700";"15820";"1000";"11450";"200";"10870";"220";"14262";"3220";"9232";"690";"6050";"1150";"3700";"600";"29521";"7430";"42122";"10000";"58888";"13000";"66634";"14850";"77122";"20000";"85172";"22000";"86172";"22000";"91172";"21000";"102672";"33000";"114172";"30000";"146306";"48000";"202799";"85000"
"MU";"5106190";"      Nova Santa Helena";"...";"...";"1960";"600";"2515";"330";"1330";"100";"1741";"220";"5129";"620";"3440";"320";"2152";"150";"2997";"850";"2482";"150";"3022";"900";"462";"150";"5975";"1500";"7175";"1500";"7905";"2100";"16441";"3600";"22225";"6000";"26261";"7036";"24725";"7000";"35085";"8280";"37725";"9000";"52725";"18000";"58725";"18000";"73374";"34800"
"MU";"5107248";"      Santa Carmem";"15332";"1716";"22320";"3007";"32547";"4596";"48527";"5735";"75402";"10000";"94906";"6000";"49742";"5100";"47992";"12000";"64010";"11080";"83883";"16850";"94238";"28000";"106210";"22000";"124125";"42500";"163807";"62497";"139024";"40000";"134024";"45000";"147922";"55000";"162465";"64400";"171848";"70350";"202818";"85000";"201850";"83000";"214350";"89000";"240260";"106000";"247260";"110000"
"MU";"5107909";"      Sinop";"43288";"5000";"56286";"7000";"63290";"10200";"75727";"13500";"135425";"17526";"200849";"24985";"149710";"20000";"132632";"40380";"154556";"41030";"152236";"30200";"174027";"45200";"163885";"40000";"209090";"72134";"210112";"62631";"235337";"79000";"229755";"80000";"229270";"80000";"262845";"107794";"257740";"100000";"272205";"110538";"268727";"105995";"296720";"119000";"301001";"118000";"331941";"145000"
"MU";"5108303";"      União do Sul";"560";"100";"1205";"300";"650";"60";"1422";"122";"7845";"1530";"15400";"565";"8850";"540";"9750";"2340";"11205";"2150";"10695";"1040";"32150";"7040";"23631";"5600";"28873";"5050";"38223";"5050";"37223";"7050";"57185";"12343";"65977";"15000";"77173";"22000";"89673";"22000";"103297";"32140";"116491";"40000";"107642";"34000";"122398";"42000";"141338";"54000"
"MU";"5108501";"      Vera";"28554";"1106";"37104";"1295";"44254";"1550";"56854";"5150";"115729";"15220";"124219";"15300";"117170";"10700";"93829";"15500";"139187";"30500";"144766";"25140";"176010";"50000";"173707";"40000";"208951";"70508";"222141";"80966";"216372";"70000";"219940";"72000";"211125";"65000";"220060";"83440";"233380";"93000";"228051";"89760";"256015";"105000";"290531";"126000";"300925";"136000";"307475";"139000"
"MI";"51008";"    Paranatinga";"88526";"2200";"73435";"2630";"64635";"4400";"87139";"2840";"154747";"2320";"189297";"3310";"110348";"6000";"113818";"7350";"154120";"7780";"189832";"12371";"211172";"22078";"226853";"29644";"292444";"37018";"394168";"62130";"452218";"49340";"503035";"81340";"499413";"55500";"503920";"69000";"563361";"64500";"740178";"172200";"711510";"170200";"686980";"180409";"709385";"170100";"912937";"274050"
"MU";"5103858";"      Gaúcha do Norte";"16410";"150";"14210";"630";"...";"...";"17936";"50";"34800";"500";"48227";"600";"35780";"2200";"42430";"3150";"54900";"3700";"69052";"3015";"82879";"7030";"100085";"12000";"124933";"15000";"149760";"17300";"180640";"17800";"202780";"18000";"216280";"27000";"217080";"32000";"229667";"32000";"311450";"89000";"305298";"95000";"286630";"95000";"271480";"80000";"299480";"100000"
"MU";"5106208";"      Nova Brasilândia";"5296";"500";"4594";"600";"2323";"100";"1553";"300";"8449";"370";"4006";"310";"2833";"1380";"390";"100";"1967";"530";"3067";"195";"2330";"240";"3520";"550";"3548";"900";"6108";"2010";"8228";"1790";"14368";"2340";"17048";"2500";"15625";"2500";"19960";"3000";"17285";"4000";"10336";"4000";"9336";"3000";"14260";"3000";"30570";"9550"
"MU";"5106307";"      Paranatinga";"46830";"1000";"42683";"800";"43816";"2300";"52771";"1800";"89946";"1100";"123436";"1700";"64570";"1850";"69008";"3800";"89493";"3020";"107653";"8431";"113208";"13988";"109508";"15394";"146565";"16010";"215865";"39540";"231088";"25000";"259775";"57000";"239920";"22000";"245210";"30000";"283206";"25000";"382050";"78000";"356324";"70000";"347175";"78000";"372265";"81600";"523250";"153500"
"MU";"5106455";"      Planalto da Serra";"19990";"550";"11948";"600";"18496";"2000";"14879";"690";"21552";"350";"13628";"700";"7165";"570";"1990";"300";"7760";"530";"10060";"730";"12755";"820";"13740";"1700";"17398";"5108";"22435";"3280";"32262";"4750";"26112";"4000";"26165";"4000";"26005";"4500";"30528";"4500";"29393";"1200";"39552";"1200";"43839";"4409";"51380";"5500";"59637";"11000"
"ME";"5102";"  Nordeste Mato-grossense";"381650";"42944";"408110";"45380";"464372";"42208";"579101";"52703";"787246";"37643";"938296";"41664";"756922";"42180";"706971";"57233";"833260";"91738";"876717";"96590";"967752";"125436";"1105406";"175299";"1395122";"287172";"1662996";"356179";"2029510";"458420";"2168166";"430397";"2357690";"546263";"2463549";"607388";"2502311";"593516";"2575370";"666010";"2810362";"771497";"3008250";"878516";"3115600";"885549";"3858544";"1309569"
"MI";"51009";"    Norte Araguaia";"60201";"22920";"82678";"26130";"81419";"22988";"83815";"24723";"143605";"18783";"226916";"19793";"151144";"20030";"125317";"16863";"166911";"24280";"177275";"22080";"177306";"18053";"220654";"41740";"362423";"85619";"473740";"90199";"733057";"189300";"800081";"154324";"972487";"267717";"953458";"243269";"1028941";"277859";"1048124";"311020";"1125316";"330720";"1215897";"369752";"1271448";"369885";"1713893";"620055"
"MU";"5100359";"      Alto Boa Vista";"4400";"2000";"3181";"1500";"3350";"1500";"3600";"1500";"5588";"100";"7400";"300";"2702";"200";"4500";"250";"7150";"1000";"4120";"600";"4404";"320";"6788";"1300";"11238";"2150";"10768";"2180";"14970";"2080";"25011";"5120";"25371";"5080";"34341";"7570";"31596";"5120";"34965";"6310";"35960";"6320";"53134";"21555";"53600";"21555";"54220";"21525"
"MU";"5101852";"      Bom Jesus do Araguaia";"...";"...";"5160";"1200";"6160";"1300";"19320";"6000";"14900";"1200";"34300";"1200";"24000";"1000";"29360";"1560";"47800";"3200";"46300";"3000";"45575";"500";"64036";"12000";"76181";"14181";"83522";"12000";"99797";"21700";"133962";"27734";"147714";"23917";"156885";"31770";"154309";"27904";"151416";"41985";"172544";"42010";"164961";"42015";"188830";"46015";"226455";"85215"
"MU";"5102694";"      Canabrava do Norte";"6030";"2500";"7650";"3000";"10080";"3000";"12425";"3000";"18782";"3000";"28602";"6500";"19500";"3250";"8352";"500";"10616";"4000";"6390";"650";"7320";"700";"8150";"3000";"8400";"3125";"23650";"8500";"35906";"13200";"30211";"6600";"48460";"16000";"46460";"16000";"49160";"17000";"38135";"11600";"38750";"13100";"38763";"10079";"38763";"10079";"63000";"25000"
"MU";"5103353";"      Confresa";"26137";"9000";"32030";"8500";"27732";"6000";"12522";"3500";"13177";"3600";"17104";"3600";"17224";"4000";"15720";"3000";"17525";"4200";"19200";"4200";"7060";"550";"5400";"1300";"7315";"3195";"19090";"5990";"67951";"24670";"44900";"12600";"58926";"20390";"50926";"17390";"58296";"18500";"56550";"19000";"58212";"19100";"75019";"19000";"83157";"27138";"90019";"34000"
"MU";"5105309";"      Luciara";"760";"10";"2180";"100";"850";"100";"850";"150";"1620";"180";"1330";"70";"470";"30";"390";"30";"390";"30";"430";"30";"435";"35";"290";"40";"110";"30";"380";"40";"890";"50";"1590";"40";"2440";"30";"2394";"32";"2480";"70";"1225";"65";"855";"35";"850";"38";"990";"38";"8432";"120"
"MU";"5106315";"      Novo Santo Antônio";"...";"...";"370";"100";"650";"50";"710";"80";"880";"120";"750";"140";"1290";"10";"1088";"9";"1090";"210";"1010";"180";"1020";"200";"410";"100";"220";"60";"250";"70";"280";"80";"1020";"60";"1120";"20";"1248";"45";"2048";"848";"2575";"840";"2075";"845";"2083";"845";"2108";"870";"2713";"875"
"MU";"5106778";"      Porto Alegre do Norte";"3372";"1060";"8020";"550";"1596";"365";"3500";"400";"10233";"1161";"14025";"1250";"19261";"2059";"10035";"1544";"11300";"1200";"11310";"1300";"11810";"1320";"12157";"2200";"24204";"7905";"29970";"10500";"30600";"9850";"29490";"7170";"42060";"14500";"40060";"14500";"45934";"16240";"49244";"18600";"47130";"17200";"68080";"28000";"75977";"28000";"80231";"30000"
"MU";"5107180";"      Ribeirão Cascalheira";"4850";"1800";"5670";"1800";"13060";"2500";"8050";"1700";"9480";"500";"23030";"450";"12300";"1250";"7675";"600";"14785";"1500";"13410";"1500";"20580";"500";"32415";"2700";"36546";"2800";"74642";"5526";"96202";"18915";"102417";"12300";"104525";"12400";"104746";"12989";"103155";"9489";"105775";"10000";"115173";"25000";"123173";"28000";"112173";"15000";"150173";"45000"
"MU";"5107743";"      Santa Cruz do Xingu";"...";"...";"1710";"800";"2140";"900";"5100";"1000";"9170";"350";"12110";"100";"10350";"200";"6100";"220";"7170";"700";"3680";"500";"4050";"500";"5980";"2200";"7270";"2000";"11370";"3000";"39250";"8800";"26600";"2500";"30010";"4200";"32360";"7000";"37648";"7500";"44250";"11450";"41600";"13500";"56100";"18000";"53309";"18000";"150100";"40000"
"MU";"5107776";"      Santa Terezinha";"2850";"650";"3406";"780";"3573";"843";"4203";"843";"3190";"890";"7250";"900";"5550";"850";"5000";"500";"5170";"1250";"4700";"1300";"2350";"730";"1800";"350";"13754";"4300";"16700";"4000";"18450";"4650";"25100";"5400";"31290";"13800";"31090";"13800";"40639";"13439";"38250";"15250";"35814";"7650";"42964";"12000";"42550";"12000";"51550";"17000"
"MU";"5107859";"      São Félix do Araguaia";"3950";"1400";"5350";"2300";"4950";"1550";"5642";"1200";"24155";"1900";"39921";"2000";"17086";"621";"15957";"1950";"20145";"4150";"32925";"4300";"40864";"9750";"49218";"11050";"83385";"11313";"111144";"12663";"197624";"40090";"254270";"47800";"316250";"101710";"293997";"68373";"327807";"101500";"326284";"106050";"330888";"106080";"336300";"104920";"356428";"104950";"521806";"200370"
"MU";"5107354";"      São José do Xingu";"4400";"2000";"2290";"1500";"2255";"1360";"2220";"1400";"20800";"4600";"17300";"1100";"9900";"1500";"9900";"1500";"14860";"1500";"22360";"2000";"21980";"1100";"23480";"3100";"63680";"22500";"59624";"17150";"96430";"34800";"93930";"20700";"107280";"40400";"105080";"40400";"116964";"44884";"138080";"52500";"177160";"60000";"177160";"60000";"177160";"60000";"192160";"75000"
"MU";"5107883";"      Serra Nova Dourada";"...";"...";"1040";"500";"1100";"520";"1220";"600";"6810";"168";"10523";"183";"910";"60";"540";"200";"990";"240";"1020";"120";"2030";"250";"1810";"200";"1270";"60";"1430";"80";"1640";"120";"2530";"300";"6570";"270";"7300";"300";"7700";"300";"6555";"270";"6965";"280";"7220";"300";"16313";"1240";"32488";"12950"
"MU";"5108600";"      Vila Rica";"3452";"2500";"4621";"3500";"3923";"3000";"4453";"3350";"4820";"1014";"13271";"2000";"10601";"5000";"10700";"5000";"7920";"1100";"10420";"2400";"7828";"1598";"8720";"2200";"28850";"12000";"31200";"8500";"33067";"10295";"29050";"6000";"50471";"15000";"46571";"13100";"51205";"15065";"54820";"17100";"62190";"19600";"70090";"25000";"70090";"25000";"90546";"33000"
"MI";"51010";"    Canarana";"313298";"19354";"315010";"17880";"377447";"18350";"480355";"27630";"615306";"18330";"683122";"21571";"581360";"21770";"564692";"40090";"643813";"66448";"678413";"73580";"771846";"107323";"864737";"130699";"1009601";"197343";"1164186";"265960";"1257519";"267635";"1323360";"274683";"1339003";"276981";"1465263";"363094";"1426375";"314267";"1484814";"352836";"1631228";"436443";"1731309";"503200";"1745093";"491350";"2041332";"665200"
"MU";"5100201";"      Água Boa";"30498";"2004";"30351";"3500";"37930";"1500";"56119";"1500";"82582";"2000";"93250";"2500";"64341";"2625";"38981";"1616";"53567";"4658";"56615";"3850";"55509";"7034";"61090";"9500";"86055";"17000";"124080";"23800";"135857";"21000";"151930";"14000";"163450";"16500";"185130";"32100";"191208";"23500";"198330";"31000";"211220";"30000";"219559";"38000";"248950";"44000";"281705";"70000"
"MU";"5102603";"      Campinápolis";"5500";"2000";"2341";"280";"2500";"500";"4120";"500";"4580";"1000";"3820";"300";"1945";"120";"1790";"120";"790";"120";"1170";"120";"770";"-";"670";"-";"670";"-";"11465";"1000";"19275";"3500";"20875";"3900";"34734";"4500";"36670";"3700";"35270";"3500";"37420";"7500";"38670";"7500";"38670";"7500";"36144";"6000";"70320";"20000"
"MU";"5102702";"      Canarana";"51740";"1500";"53853";"2500";"66633";"1500";"87107";"6500";"116052";"1500";"129277";"3500";"98601";"500";"88845";"500";"103337";"13230";"112673";"12444";"141476";"19000";"160878";"24000";"196579";"38835";"242011";"51500";"272384";"51800";"303080";"59083";"320311";"71150";"327911";"72650";"326951";"65000";"357888";"80000";"383316";"90000";"410109";"100000";"470155";"165000";"484155";"165000"
"MU";"5106174";"      Nova Nazaré";"...";"...";"620";"100";"1330";"100";"5890";"60";"8230";"80";"6600";"200";"3040";"200";"2795";"200";"2470";"100";"2300";"100";"2635";"-";"2665";"-";"4065";"1000";"5565";"1000";"10015";"1000";"13690";"500";"16865";"1000";"20415";"1000";"16415";"1200";"18315";"3000";"19020";"2500";"19620";"2500";"25270";"3150";"29160";"4000"
"MU";"5106257";"      Nova Xavantina";"19862";"1500";"24825";"1500";"25985";"1800";"33632";"1570";"44425";"1000";"42580";"1000";"30481";"925";"25185";"500";"39312";"2600";"40315";"2500";"44082";"2835";"47966";"5816";"58670";"11700";"66546";"10200";"70883";"9500";"72803";"10000";"75711";"11600";"82220";"13000";"75960";"9000";"80465";"12000";"80114";"11000";"76669";"9000";"73750";"17000";"83038";"10000"
"MU";"5106281";"      Novo São Joaquim";"178106";"11600";"48579";"4000";"82795";"5250";"91605";"7000";"100925";"6500";"103502";"6871";"79074";"8500";"83089";"12954";"88258";"12900";"95598";"20100";"113641";"29484";"117289";"26774";"127887";"33900";"127849";"35900";"126383";"35280";"127128";"33100";"112151";"27131";"120576";"41434";"117952";"39087";"116162";"37136";"123065";"32443";"130215";"36200";"140264";"36200";"140264";"36200"
"MU";"5107065";"      Querência";"27592";"750";"33935";"1800";"38136";"1000";"61228";"1000";"110480";"250";"146821";"500";"156035";"600";"161045";"600";"195345";"8000";"214745";"15500";"241008";"12000";"288200";"29039";"341189";"49708";"379665";"87120";"415076";"96455";"435963";"105000";"446885";"105300";"490260";"137750";"472635";"112780";"488554";"122000";"580896";"200000";"643567";"240000";"546570";"150000";"690570";"280000"
"MU";"5107792";"      Santo Antônio do Leste";"...";"...";"120506";"4200";"122138";"6700";"140654";"9500";"148032";"6000";"157272";"6700";"147843";"8300";"162962";"23600";"160734";"24840";"154997";"18966";"172725";"36970";"185979";"35570";"194486";"45200";"207005";"55440";"207646";"49100";"197891";"49100";"168896";"39800";"202081";"61460";"189984";"60200";"187680";"60200";"194927";"63000";"192900";"70000";"203990";"70000";"262120";"80000"
"MI";"51011";"    Médio Araguaia";"8151";"670";"10422";"1370";"5506";"870";"14931";"350";"28335";"530";"28258";"300";"24418";"380";"16962";"280";"22536";"1010";"21029";"930";"18600";"60";"20015";"2860";"23098";"4210";"25070";"20";"38934";"1485";"44725";"1390";"46200";"1565";"44828";"1025";"46995";"1390";"42432";"2154";"53818";"4334";"61044";"5564";"99059";"24314";"103319";"24314"
"MU";"5101001";"      Araguaiana";"1640";"170";"1590";"150";"260";"120";"150";"50";"1060";"80";"360";"50";"70";"30";"80";"30";"80";"30";"60";"30";"60";"30";"60";"30";"530";"30";"1300";"20";"1998";"20";"2240";"-";"2240";"-";"2037";"300";"3430";"400";"3039";"464";"4229";"564";"4624";"564";"12378";"3564";"12378";"3564"
"MU";"5101803";"      Barra do Garças";"5566";"400";"5816";"650";"4666";"500";"8304";"200";"17745";"250";"22528";"50";"21508";"250";"15992";"200";"21436";"800";"20679";"800";"18400";"-";"19815";"2800";"22468";"4180";"23270";"-";"32321";"1390";"34850";"1390";"35725";"1065";"36051";"235";"35065";"500";"29053";"1200";"35309";"2000";"41680";"3000";"66791";"17000";"66791";"17000"
"MU";"5103106";"      Cocalinho";"945";"100";"3016";"570";"580";"250";"6477";"100";"9530";"200";"5370";"200";"2840";"100";"890";"50";"1020";"180";"290";"100";"140";"30";"140";"30";"100";"-";"500";"-";"4615";"75";"7635";"-";"8235";"500";"6740";"490";"8500";"490";"10340";"490";"14280";"1770";"14740";"2000";"19890";"3750";"24150";"3750"
"ME";"5103";"  Sudoeste Mato-grossense";"163442";"30280";"176471";"30960";"184382";"29650";"211883";"34098";"246180";"37651";"280080";"33497";"245540";"29376";"266522";"40145";"263863";"43874";"243915";"36614";"248892";"39062";"270082";"33026";"272971";"38983";"326132";"46907";"347853";"54518";"377227";"47016";"382386";"64409";"433250";"100186";"435214";"83665";"451004";"88509";"487605";"91954";"635616";"120064";"576657";"139148";"623175";"143344"
"MI";"51012";"    Alto Guaporé";"10658";"6100";"11827";"6150";"9702";"4000";"18663";"7610";"33501";"11600";"23420";"2950";"28117";"8260";"33123";"6893";"30107";"10515";"35295";"12450";"32915";"12500";"38605";"12250";"37010";"13300";"45023";"15114";"65159";"23650";"74903";"15556";"78426";"19836";"86779";"25030";"95548";"26255";"108490";"32028";"134367";"35965";"158985";"44733";"203043";"50278";"238886";"60520"
"MU";"5103361";"      Conquista D'Oeste";"...";"...";"572";"300";"397";"180";"1941";"960";"9171";"2600";"2515";"300";"2275";"300";"903";"200";"1294";"300";"547";"380";"230";"150";"300";"180";"270";"200";"320";"250";"195";"150";"4372";"1270";"4505";"1590";"5535";"2020";"6570";"1615";"8739";"3058";"10453";"3465";"11737";"3470";"15651";"4615";"17092";"6145"
"MU";"5106182";"      Nova Lacerda";"2308";"600";"1410";"650";"3095";"500";"9695";"3100";"11630";"2500";"3560";"600";"2042";"380";"10417";"150";"5058";"965";"6093";"1420";"5905";"1730";"7140";"1950";"7095";"1950";"9374";"1584";"23540";"7450";"17045";"950";"22129";"2020";"24553";"5710";"23356";"3940";"25850";"6350";"33815";"5655";"42230";"9613";"48661";"9913";"61879";"13800"
"MU";"5106752";"      Pontes e Lacerda";"4220";"2500";"5920";"3000";"2870";"1600";"3362";"1600";"6685";"3000";"8495";"550";"10845";"4300";"9525";"4000";"12275";"6500";"14875";"7400";"12725";"6500";"14055";"5500";"14925";"6500";"18510";"8100";"22350";"10000";"22857";"6237";"19953";"6150";"26469";"7750";"26845";"8370";"32071";"9050";"36875";"10000";"45571";"13000";"59024";"16000";"66231";"16000"
"MU";"5108352";"      Vale de São Domingos";"...";"...";"830";"400";"610";"280";"720";"350";"820";"500";"1900";"500";"445";"300";"1838";"143";"1640";"150";"1790";"250";"1615";"120";"1640";"120";"1660";"150";"1659";"180";"1664";"200";"4545";"-";"7060";"3010";"3422";"3370";"7277";"3180";"280";"180";"243";"150";"258";"150";"6437";"250";"355";"250"
"MU";"5105507";"      Vila Bela da Santíssima Trindade";"4130";"3000";"3095";"1800";"2730";"1440";"2945";"1600";"5195";"3000";"6950";"1000";"12510";"2980";"10440";"2400";"9840";"2600";"11990";"3000";"12440";"4000";"15470";"4500";"13060";"4500";"15160";"5000";"17410";"5850";"26084";"7099";"24779";"7066";"26800";"6180";"31500";"9150";"41550";"13390";"52981";"16695";"59189";"18500";"73270";"19500";"93329";"24325"
"MI";"51013";"    Tangará da Serra";"120927";"8950";"133120";"8130";"146198";"11010";"162458";"13050";"177879";"12425";"222158";"18375";"190607";"15122";"204841";"28145";"200366";"24705";"176588";"16080";"189463";"22440";"203299";"15854";"212177";"20639";"253065";"25728";"250502";"22953";"272026";"27535";"276193";"39548";"317590";"70199";"309123";"52301";"307630";"52881";"318584";"52279";"435587";"69661";"333589";"83068";"347342";"75794"
"MU";"5101704";"      Barra do Bugres";"21239";"400";"32047";"400";"37731";"400";"40638";"650";"43801";"480";"43732";"660";"47838";"642";"48747";"600";"46807";"605";"43340";"600";"42780";"600";"43136";"600";"45925";"530";"52387";"500";"51944";"500";"49487";"700";"51462";"800";"52673";"900";"50525";"850";"50066";"850";"51290";"1050";"56176";"1050";"53828";"1324";"53543";"1450"
"MU";"5103452";"      Denise";"25280";"400";"29954";"300";"29704";"210";"33011";"300";"30771";"45";"31878";"95";"26466";"80";"26949";"80";"25557";"50";"27513";"80";"30615";"20";"32263";"4";"32061";"9";"44127";"-";"35633";"-";"50478";"1203";"46843";"1203";"48869";"1203";"57168";"1210";"57334";"1310";"60694";"510";"50565";"510";"42204";"510";"55954";"60"
"MU";"5106232";"      Nova Olímpia";"18364";"1000";"19580";"1200";"18876";"1400";"20939";"1650";"18939";"1100";"19242";"1100";"19641";"1100";"28554";"1200";"27881";"1250";"23465";"1200";"23525";"970";"21782";"900";"23476";"500";"22940";"110";"22301";"130";"23269";"12";"23370";"9";"23339";"10";"24191";"11";"23498";"16";"23714";"4";"23270";"6";"22327";"139";"28264";"139"
"MU";"5106851";"      Porto Estrela";"1339";"500";"1649";"500";"1505";"500";"1077";"450";"1851";"300";"2095";"120";"2635";"200";"2177";"215";"1922";"300";"2207";"400";"1031";"250";"1134";"250";"1269";"300";"1185";"250";"953";"250";"1284";"250";"1155";"70";"1160";"40";"1127";"80";"1175";"110";"1260";"120";"1735";"450";"1790";"450";"1932";"700"
"MU";"5107958";"      Tangará da Serra";"54705";"6650";"49890";"5730";"58382";"8500";"66793";"10000";"82517";"10500";"125211";"16400";"94027";"13100";"98414";"26050";"98199";"22500";"80063";"13800";"91512";"20600";"104984";"14100";"109446";"19300";"132426";"24868";"139671";"22073";"147508";"25370";"153363";"37466";"191549";"68046";"176112";"50150";"175557";"50595";"181626";"50595";"303841";"67645";"213440";"80645";"207649";"73445"
"MI";"51014";"    Jauru";"31857";"15230";"31524";"16680";"28482";"14640";"30762";"13438";"34800";"13626";"34502";"12172";"26816";"5994";"28558";"5107";"33390";"8654";"32032";"8084";"26514";"4122";"28178";"4922";"23784";"5044";"28044";"6065";"32192";"7915";"30298";"3925";"27767";"5025";"28881";"4957";"30543";"5109";"34884";"3600";"34654";"3710";"41044";"5670";"40025";"5802";"36947";"7030"
"MU";"5101258";"      Araputanga";"3500";"2400";"2630";"2000";"2555";"2000";"2705";"2000";"2000";"1500";"3110";"2500";"1805";"1500";"1747";"1500";"1630";"1400";"1110";"800";"480";"300";"997";"800";"1570";"1400";"1713";"1500";"1985";"1675";"2050";"1720";"2203";"1900";"2505";"1900";"2695";"2120";"1095";"1000";"1095";"1000";"4205";"2600";"4395";"2600";"2688";"2600"
